"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"TMEM143_chr19:-:48345159:48345354:48360071:48360176:48343320:48343451:48363290:48363531:30851","TMEM143_chr19:-:48345159:48345354:48360071:48360176:48343320:48343451:48363290:48363531:30851","MXE","ENSG00000161558.11","TMEM143",0.492,0.525,0.404,0.429,0.22,0.347,0.269,0.287,0.4,0.522,0.375,0.378,0.27,0.4,1.936666666,"SEED2"
"ITGB1_chr10:-:32936349:32936423:32935491:32935558:32953592:32953809:53003","ITGB1_chr10:-:32936349:32936423:32935491:32935558:32953592:32953809:53003","SE","ENSG00000150093.20","ITGB1",0.276,0.276,0.147,0.101,0.096,0.133,0.068,0.183,0.169,0.127,0.149,0.128,0.146,0.103,1.958695651,"SEED2"
"CASC19_chr8:-:127143762:127143919:127148796:127148918:127141473:127141571:127149615:127149672:29154","CASC19_chr8:-:127143762:127143919:127148796:127148918:127141473:127141571:127149615:127149672:29154","MXE","ENSG00000254166.3","CASC19",0.219,0.227,0.169,0.148,0.076,0.134,0.081,0.148,0.127,0.097,0.131,0.116,0.071,0.141,1.963656388,"SEED2"
"PLEKHG4_chr16:+:67277509:67280806:67277509:67280543:67280710:67280806:9016","PLEKHG4_chr16:+:67277509:67280806:67277509:67280543:67280710:67280806:9016","RI","ENSG00000196155.13","PLEKHG4",0.677,0.62,0.559,0.406,0.311,0.278,0.341,0.506,0.526,0.514,0.464,0.383,0.6,0.431,1.967429839,"SEED2"
"GANC_chr15:+:42278481:42278590:42287690:42287818:42276345:42276410:42292734:42292917:34034","GANC_chr15:+:42278481:42278590:42287690:42287818:42276345:42276410:42292734:42292917:34034","MXE","ENSG00000214013.10","GANC",0.729,0.656,0.625,0.55,0.371,0.625,0.517,0.621,0.663,0.655,0.587,0.489,0.568,0.636,1.972085048,"SEED2"
"NDUFAF5_chr20:+:13793159:13793227:13801485:13801683:13788588:13788652:13808841:13808902:1528","NDUFAF5_chr20:+:13793159:13793227:13801485:13801683:13788588:13788652:13808841:13808902:1528","MXE","ENSG00000101247.18","NDUFAF5",0.16,0.094,0.109,0.083,0.075,0.089,0.045,0.104,0.08,0.137,0.089,0.086,0.058,0.112,1.99375,"SEED2"
"TMEM184A_chr7:-:1548518:1549945:1548518:1548688:1549853:1549945:6928","TMEM184A_chr7:-:1548518:1549945:1548518:1548688:1549853:1549945:6928","RI","ENSG00000164855.16","TMEM184A",0.2,0.19,0.111,0.129,0.076,0.068,0.081,0.126,0.167,0.112,0.113,0.131,0.11,0.1,2,"SEED2"
"LUCAT1_chr5:-:91311645:91312413:91312294:91312413:91310640:91311032:2671","LUCAT1_chr5:-:91311645:91312413:91312294:91312413:91310640:91311032:2671","A5SS","ENSG00000248323.8","LUCAT1",0.658,0.699,0.573,0.438,0.362,0.524,0.438,0.61,0.597,0.594,0.581,0.511,0.407,0.625,2.00107296,"SEED2"
"GAS5_chr1:-:173864674:173864704:173865509:173865547:173864256:173864304:173866176:173866206:13148","GAS5_chr1:-:173864674:173864704:173865509:173865547:173864256:173864304:173866176:173866206:13148","MXE","ENSG00000234741.9","GAS5",0.191,0.102,0.129,0.122,0.05,0.086,0.062,0.063,0.161,0.108,0.071,0.027,0.042,0.103,2.028534032,"SEED2"
"CDK5RAP3_chr17:+:47974399:47975337:47974399:47974448:47975158:47975337:7663","CDK5RAP3_chr17:+:47974399:47975337:47974399:47974448:47975158:47975337:7663","RI","ENSG00000108465.15","CDK5RAP3",0.498,0.455,0.406,0.294,0.23,0.26,0.282,0.369,0.372,0.362,0.353,0.301,0.387,0.396,2.05,"SEED2"
"NICN1_chr3:-:49424948:49425438:49424948:49425053:49425366:49425438:9619","NICN1_chr3:-:49424948:49425438:49424948:49425053:49425366:49425438:9619","RI","ENSG00000145029.14","NICN1",0.514,0.333,0.315,0.343,0.105,0.172,0.311,0.382,0.386,0.385,0.333,0.41,0.237,0.316,2.056614786,"SEED2"
"KRI1_chr19:-:10564928:10565790:10564928:10565034:10565716:10565790:812","KRI1_chr19:-:10564928:10565790:10564928:10565034:10565716:10565790:812","RI","ENSG00000129347.21","KRI1",0.105,0.111,0.105,0.069,0.041,0.061,0.075,0.087,0.095,0.145,0.105,0.088,0.082,0.101,2.067241378,"SEED2"
"UBXN11_chr1:-:26284361:26285541:26284361:26284482:26285463:26285541:4530","UBXN11_chr1:-:26284361:26285541:26284361:26284482:26285463:26285541:4530","RI","ENSG00000158062.21","UBXN11",0.455,0.523,0.53,0.435,0.413,0.317,0.301,0.5,0.591,0.624,0.515,0.436,0.353,0.459,2.071153845,"SEED2"
"PAN2_chr12:-:56322614:56323209:56322614:56322758:56323061:56323209:8228","PAN2_chr12:-:56322614:56323209:56322614:56322758:56323061:56323209:8228","RI","ENSG00000135473.16","PAN2",0.328,0.354,0.303,0.372,0.175,0.183,0.235,0.297,0.415,0.328,0.303,0.241,0.256,0.259,2.071686747,"SEED2"
"AP1G2_chr14:-:23565605:23566160:23565605:23565701:23565815:23566160:9543","AP1G2_chr14:-:23565605:23566160:23565605:23565701:23565815:23566160:9543","RI","ENSG00000213983.12","AP1G2",0.114,0.236,0.158,0.13,0.062,0.127,0.125,0.19,0.158,0.166,0.129,0.146,0.11,0.187,2.072033899,"SEED2"
"AHSA2P_chr2:+:61185979:61186081:61185501:61185618:61186445:61186497:87803","AHSA2P_chr2:+:61185979:61186081:61185501:61185618:61186445:61186497:87803","SE","ENSG00000173209.23","AHSA2P",0.129,0.187,0.123,0.107,0.066,0.065,0.034,0.091,0.104,0.153,0.09,0.093,0.064,0.075,2.076737968,"SEED2"
"LUC7L3_chr17:+:50751296:50751362:50750746:50750852:50752199:50752585:16881","LUC7L3_chr17:+:50751296:50751362:50750746:50750852:50752199:50752585:16881","SE","ENSG00000108848.16","LUC7L3",0.343,0.403,0.324,0.341,0.267,0.26,0.189,0.339,0.397,0.383,0.228,0.286,0.222,0.382,2.083746898,"SEED2"
"ABL2_chr1:-:179133311:179133374:179131310:179131481:179229240:179229397:71977","ABL2_chr1:-:179133311:179133374:179131310:179131481:179229240:179229397:71977","SE","ENSG00000143322.21","ABL2",0.696,0.695,0.616,0.624,0.352,0.461,0.522,0.474,0.5,0.62,0.379,0.514,0.314,0.543,2.083908048,"SEED2"
"ASPM_chr1:-:197124869:197125191:197124869:197124955:197125045:197125191:3138","ASPM_chr1:-:197124869:197125191:197124869:197124955:197125045:197125191:3138","RI","ENSG00000066279.19","ASPM",0.15,0.13,0.159,0.081,0.07,0.051,0.042,0.138,0.148,0.122,0.088,0.046,0.101,0.138,2.090880503,"SEED2"
"GALT_chr9:+:34647088:34648171:34647088:34647961:34648114:34648171:7857","GALT_chr9:+:34647088:34648171:34647088:34647961:34648114:34648171:7857","RI","ENSG00000213930.12","GALT",0.115,0.176,0.099,0.075,0.074,0.049,0.038,0.088,0.109,0.064,0.089,0.061,0.067,0.071,2.103409091,"SEED2"
"CDCA3_chr12:-:6849322:6849858:6849322:6849429:6849564:6849858:8937","CDCA3_chr12:-:6849322:6849858:6849322:6849429:6849564:6849858:8937","RI","ENSG00000111665.12","CDCA3",0.143,0.097,0.113,0.095,0.047,0.023,0.063,0.166,0.106,0.094,0.076,0.058,0.046,0.113,2.105421687,"SEED2"
"MSL3_chrX:+:11763779:11765729:11763779:11763938:11765466:11765729:209","MSL3_chrX:+:11763779:11765729:11763779:11763938:11765466:11765729:209","RI","ENSG00000005302.19","MSL3",0.167,0.135,0.122,0.054,0.105,0.105,0.103,0.13,0.117,0.136,0.129,0.06,0.097,0.094,2.107485031,"SEED2"
"GALT_chr9:+:34648047:34648171:34648114:34648171:34647656:34647961:13814","GALT_chr9:+:34648047:34648171:34648114:34648171:34647656:34647961:13814","A3SS","ENSG00000213930.12","GALT",0.172,0.177,0.116,0.065,0.077,0.081,0.056,0.133,0.143,0.076,0.069,0.094,0.123,0.083,2.108757061,"SEED2"
"SPSB3_chr16:-:1777945:1778612:1777945:1778048:1778133:1778612:1677","SPSB3_chr16:-:1777945:1778612:1777945:1778048:1778133:1778612:1677","RI","ENSG00000162032.16","SPSB3",0.361,0.358,0.26,0.163,0.143,0.207,0.221,0.246,0.267,0.236,0.215,0.246,0.309,0.242,2.11731302,"SEED2"
"KATNAL2_chr18:+:47046456:47046527:47059555:47059654:46946853:46946923:47062971:47063070:2579","KATNAL2_chr18:+:47046456:47046527:47059555:47059654:46946853:46946923:47062971:47063070:2579","MXE","ENSG00000167216.19","KATNAL2",0.431,0.448,0.388,0.442,0.273,0.325,0.206,0.368,0.435,0.523,0.379,0.318,0.339,0.388,2.121701722,"SEED2"
"SPSB3_chr16:-:1778133:1778612:1778133:1778321:1778434:1778612:1678","SPSB3_chr16:-:1778133:1778612:1778133:1778321:1778434:1778612:1678","RI","ENSG00000162032.16","SPSB3",0.369,0.433,0.312,0.298,0.165,0.276,0.327,0.406,0.392,0.395,0.326,0.369,0.35,0.379,2.123672054,"SEED2"
"WSB1_chr17:+:27307743:27309272:27309099:27309272:27306781:27306882:2025","WSB1_chr17:+:27307743:27309272:27309099:27309272:27306781:27306882:2025","A3SS","ENSG00000109046.15","WSB1",0.319,0.238,0.239,0.203,0.205,0.144,0.251,0.336,0.333,0.39,0.312,0.284,0.265,0.29,2.124358973,"SEED2"
"SMC1A_chrX:-:53421894:53422040:53413231:53413435:53422491:53422728:157480","SMC1A_chrX:-:53421894:53422040:53413231:53413435:53422491:53422728:157480","SE","ENSG00000072501.19","SMC1A",0.333,0.474,0.407,0.111,0.045,0.092,0.046,0.171,0.48,0.357,0.077,0.058,0.058,0.087,2.145833334,"SEED2"
"INPP5B_chr1:-:37931672:37932053:37940687:37940798:37891357:37891454:37943639:37943669:22378","INPP5B_chr1:-:37931672:37932053:37940687:37940798:37891357:37891454:37943639:37943669:22378","MXE","ENSG00000204084.13","INPP5B",0.585,0.556,0.645,0.469,0.411,0.551,0.481,0.524,0.63,0.642,0.429,0.29,0.453,0.446,2.15620155,"SEED2"
"CLK4_chr5:-:178617343:178618778:178617343:178617434:178618555:178618778:6233","CLK4_chr5:-:178617343:178618778:178617343:178617434:178618555:178618778:6233","RI","ENSG00000113240.14","CLK4",0.491,0.301,0.269,0.298,0.165,0.225,0.278,0.262,0.331,0.281,0.373,0.228,0.22,0.344,2.160183301,"SEED2"
"CASC19_chr8:-:127174189:127174364:127202041:127202152:127168421:127169117:127218809:127218931:29171","CASC19_chr8:-:127174189:127174364:127202041:127202152:127168421:127169117:127218809:127218931:29171","MXE","ENSG00000254166.3","CASC19",0.131,0.093,0.037,0.051,0.071,0.026,0.067,0.049,0.075,0.077,0.088,0.039,0.036,0.069,2.161450381,"SEED2"
"DCUN1D4_chr4:+:51891759:51891851:51899269:51899378:51886567:51887244:51913289:51913392:9439","DCUN1D4_chr4:+:51891759:51891851:51899269:51899378:51886567:51887244:51913289:51913392:9439","MXE","ENSG00000109184.15","DCUN1D4",0.321,0.349,0.306,0.203,0.13,0.189,0.187,0.23,0.199,0.108,0.165,0.156,0.177,0.254,2.162320916,"SEED2"
"OGT_chrX:+:71536207:71536358:71544566:71544635:71533122:71533336:71547906:71548023:22047","OGT_chrX:+:71536207:71536358:71544566:71544635:71533122:71533336:71547906:71548023:22047","MXE","ENSG00000147162.14","OGT",0.12,0.189,0.13,0.145,0.063,0.095,0.09,0.126,0.13,0.107,0.111,0.08,0.101,0.143,2.164285713,"SEED2"
"ENSG00000251537_chr17:-:15636035:15636269:15642720:15642816:15632508:15632674:15651090:15651653:3874","ENSG00000251537_chr17:-:15636035:15636269:15642720:15642816:15632508:15632674:15651090:15651653:3874","MXE","ENSG00000251537.4","ENSG00000251537",0.393,0.361,0.383,0.357,0.263,0.25,0.36,0.38,0.382,0.354,0.336,0.315,0.324,0.331,2.181806616,"SEED2"
"MFSD12_chr19:-:3542775:3542977:3538274:3538756:3546073:3546168:12291","MFSD12_chr19:-:3542775:3542977:3538274:3538756:3546073:3546168:12291","SE","ENSG00000161091.14","MFSD12",0.657,0.741,0.592,0.558,0.386,0.53,0.457,0.668,0.691,0.607,0.57,0.585,0.616,0.672,2.184008097,"SEED2"
"SUGP2_chr19:-:18994365:18995280:18994365:18994486:18995143:18995280:5063","SUGP2_chr19:-:18994365:18995280:18994365:18994486:18995143:18995280:5063","RI","ENSG00000064607.17","SUGP2",0.367,0.338,0.354,0.358,0.232,0.204,0.225,0.403,0.471,0.394,0.311,0.316,0.353,0.396,2.184607217,"SEED2"
"TOGARAM1_chr14:+:45028175:45028329:45032222:45032376:45027298:45027474:45043685:45043791:20832","TOGARAM1_chr14:+:45028175:45028329:45032222:45032376:45027298:45027474:45043685:45043791:20832","MXE","ENSG00000198718.13","TOGARAM1",0.347,0.5,0.419,0.265,0.306,0.25,0.452,0.338,0.459,0.389,0.211,0.277,0.262,0.373,2.19,"SEED2"
"CENATAC_chr11:+:119011220:119011311:119011220:119011283:119011938:119012003:10761","CENATAC_chr11:+:119011220:119011311:119011220:119011283:119011938:119012003:10761","A5SS","ENSG00000186166.9","CENATAC",0.375,0.286,0.344,0.331,0.173,0.152,0.307,0.385,0.399,0.321,0.308,0.291,0.301,0.265,2.197117796,"SEED2"
"FSTL4_chr5:-:133220747:133220993:133220747:133220866:133224189:133224216:3865","FSTL4_chr5:-:133220747:133220993:133220747:133220866:133224189:133224216:3865","A3SS","ENSG00000053108.17","FSTL4",0.333,0.304,0.333,0.167,0.109,0.128,0.134,0.184,0.203,0.161,0.206,0.149,0.152,0.1,2.207957958,"SEED2"
"STAG3L2_chr7:-:74887682:74887799:74888311:74888397:74884433:74884524:74890270:74890566:26832","STAG3L2_chr7:-:74887682:74887799:74888311:74888397:74884433:74884524:74890270:74890566:26832","MXE","ENSG00000277072.5","STAG3L2",0.098,0.176,0.142,0.121,0.045,0.072,0.061,0.122,0.128,0.107,0.136,0.09,0.048,0.083,2.217045455,"SEED2"
"SNHG17_chr20:-:38422045:38422241:38422091:38422241:38421005:38421098:465","SNHG17_chr20:-:38422045:38422241:38422091:38422241:38421005:38421098:465","A5SS","ENSG00000196756.14","SNHG17",0.39,0.356,0.29,0.387,0.2,0.187,0.336,0.368,0.257,0.24,0.277,0.246,0.205,0.292,2.21923077,"SEED2"
"TTC31_chr2:+:74492003:74494559:74492003:74492055:74492138:74494559:5982","TTC31_chr2:+:74492003:74494559:74492003:74492055:74492138:74494559:5982","RI","ENSG00000115282.21","TTC31",0.123,0.101,0.069,0.05,0.008,0.053,0.06,0.128,0.103,0.09,0.033,0.066,0.06,0.059,2.2203125,"SEED2"
"PIGO_chr9:-:35095878:35095976:35095054:35095566:35096560:35096601:142092","PIGO_chr9:-:35095878:35095976:35095054:35095566:35096560:35096601:142092","SE","ENSG00000165282.14","PIGO",0.166,0.193,0.185,0.135,0.108,0.185,0.175,0.201,0.201,0.158,0.126,0.117,0.12,0.096,2.220646768,"SEED2"
"RNF217_chr6:+:125082448:125082563:125081435:125081507:125082863:125083515:85181","RNF217_chr6:+:125082448:125082563:125081435:125081507:125082863:125083515:85181","SE","ENSG00000146373.17","RNF217",0.147,0.102,0.071,0.019,0.032,0.068,0.048,0.052,0.062,0.037,0.037,0.036,0.037,0.057,2.220748298,"SEED2"
"TMEM150A_chr2:-:85601020:85601482:85601020:85601107:85601434:85601482:7459","TMEM150A_chr2:-:85601020:85601482:85601020:85601107:85601434:85601482:7459","RI","ENSG00000168890.14","TMEM150A",0.208,0.284,0.165,0.16,0.113,0.14,0.163,0.13,0.243,0.294,0.206,0.185,0.228,0.17,2.2207483,"SEED2"
"DENND10_chr10:+:119107947:119108164:119111848:119111928:119104116:119104197:119117518:119117667:17960","DENND10_chr10:+:119107947:119108164:119111848:119111928:119104116:119104197:119117518:119117667:17960","MXE","ENSG00000119979.18","DENND10",0.234,0.183,0.248,0.196,0.134,0.212,0.176,0.289,0.263,0.234,0.178,0.194,0.195,0.208,2.22231834,"SEED2"
"BRD9_chr5:-:868606:869119:865413:865581:869244:869404:101443","BRD9_chr5:-:868606:869119:865413:865581:869244:869404:101443","SE","ENSG00000028310.18","BRD9",0.265,0.28,0.261,0.25,0.203,0.179,0.239,0.37,0.368,0.451,0.288,0.268,0.232,0.191,2.223392462,"SEED2"
"POM121_chr7:+:72913764:72913828:72890932:72891110:72926261:72926477:127152","POM121_chr7:+:72913764:72913828:72890932:72891110:72926261:72926477:127152","SE","ENSG00000196313.13","POM121",0.076,0.163,0.094,0.086,0.109,0.11,0.09,0.107,0.142,0.155,0.055,0.098,0.067,0.128,2.229141106,"SEED2"
"RHOT1_chr17:+:32211115:32211238:32208106:32208309:32224615:32225727:59107","RHOT1_chr17:+:32211115:32211238:32208106:32208309:32224615:32225727:59107","SE","ENSG00000126858.19","RHOT1",0.255,0.289,0.234,0.213,0.183,0.196,0.219,0.193,0.216,0.221,0.212,0.129,0.137,0.264,2.230276817,"SEED2"
"TAFAZZIN_chrX:+:154419704:154420094:154420031:154420094:154419542:154419623:603","TAFAZZIN_chrX:+:154419704:154420094:154420031:154420094:154419542:154419623:603","A3SS","ENSG00000102125.16","TAFAZZIN",0.35,0.346,0.289,0.188,0.224,0.249,0.191,0.33,0.378,0.29,0.264,0.216,0.283,0.293,2.235185183,"SEED2"
"TRA2A_chr7:-:23521706:23522432:23521706:23521840:23522120:23522432:4870","TRA2A_chr7:-:23521706:23522432:23521706:23521840:23522120:23522432:4870","RI","ENSG00000164548.12","TRA2A",0.746,0.884,0.824,0.56,0.447,0.66,0.607,0.851,0.74,0.824,0.729,0.705,0.739,0.834,2.240045249,"SEED2"
"LUCAT1_chr5:-:91313961:91314404:91314079:91314404:91313637:91313777:2676","LUCAT1_chr5:-:91313961:91314404:91314079:91314404:91313637:91313777:2676","A5SS","ENSG00000248323.8","LUCAT1",0.159,0.132,0.093,0.048,0.049,0.026,0.008,0.089,0.068,0.048,0.02,0.039,0.032,0.096,2.241194967,"SEED2"
"FUS_chr16:+:31184938:31188357:31184938:31185179:31188324:31188357:1513","FUS_chr16:+:31184938:31188357:31184938:31185179:31188324:31188357:1513","RI","ENSG00000089280.19","FUS",0.871,0.865,0.793,0.783,0.548,0.633,0.756,0.78,0.863,0.757,0.729,0.747,0.787,0.853,2.244603906,"SEED2"
"MIGA2_chr9:+:129068197:129068975:129068197:129068332:129069075:129069129:3868","MIGA2_chr9:+:129068197:129068975:129068197:129068332:129069075:129069129:3868","A5SS","ENSG00000148343.19","MIGA2",0.355,0.509,0.419,0.467,0.311,0.241,0.393,0.445,0.509,0.503,0.37,0.438,0.384,0.513,2.245321637,"SEED2"
"ZMYND8_chr20:-:47310055:47310204:47347855:47347926:47298728:47298947:47356656:47356670:1233","ZMYND8_chr20:-:47310055:47310204:47347855:47347926:47298728:47298947:47356656:47356670:1233","MXE","ENSG00000101040.20","ZMYND8",0.421,0.363,0.361,0.328,0.206,0.294,0.349,0.272,0.318,0.449,0.332,0.34,0.337,0.363,2.245322939,"SEED2"
"PARPBP_chr12:+:102182548:102182627:102195311:102195447:102165728:102165883:102195950:102197361:7433","PARPBP_chr12:+:102182548:102182627:102195311:102195447:102165728:102165883:102195950:102197361:7433","MXE","ENSG00000185480.12","PARPBP",0.765,0.783,0.694,0.584,0.463,0.656,0.68,0.72,0.728,0.749,0.719,0.696,0.645,0.772,2.249361429,"SEED2"
"THADA_chr2:-:43291695:43292222:43291695:43291768:43292103:43292222:5865","THADA_chr2:-:43291695:43292222:43291695:43291768:43292103:43292222:5865","RI","ENSG00000115970.19","THADA",0.31,0.226,0.173,0.139,0.078,0.099,0.231,0.194,0.22,0.113,0.2,0.18,0.21,0.202,2.25,"SEED2"
"MPP3_chr17:-:43814010:43814091:43814196:43814361:43811111:43811205:43816037:43816079:5193","MPP3_chr17:-:43814010:43814091:43814196:43814361:43811111:43811205:43816037:43816079:5193","MXE","ENSG00000161647.19","MPP3",0.436,0.324,0.38,0.304,0.247,0.354,0.319,0.505,0.412,0.202,0.327,0.338,0.294,0.351,2.250990101,"SEED2"
"EIF4G3_chr1:-:21176174:21176836:21176174:21176358:21176721:21176836:4862","EIF4G3_chr1:-:21176174:21176836:21176174:21176358:21176721:21176836:4862","RI","ENSG00000075151.24","EIF4G3",0.339,0.391,0.335,0.307,0.289,0.303,0.306,0.278,0.376,0.358,0.331,0.211,0.263,0.367,2.252046036,"SEED2"
"MPP3_chr17:-:43832076:43832251:43831881:43831943:43832760:43832819:25926","MPP3_chr17:-:43832076:43832251:43831881:43831943:43832760:43832819:25926","SE","ENSG00000161647.19","MPP3",0.083,0.137,0.11,0.05,0.069,0.094,0.045,0.114,0.136,0.175,0.075,0.044,0.081,0.104,2.261428572,"SEED2"
"SIRT6_chr19:-:4175027:4175937:4175027:4175760:4175841:4175937:852","SIRT6_chr19:-:4175027:4175937:4175027:4175760:4175841:4175937:852","RI","ENSG00000077463.15","SIRT6",0.096,0.151,0.099,0.051,0.08,0.054,0.096,0.102,0.093,0.078,0.078,0.095,0.052,0.1,2.277814568,"SEED2"
"DCLRE1C_chr10:-:14945104:14945189:14945434:14945565:14939809:14939869:14949035:14949087:27628","DCLRE1C_chr10:-:14945104:14945189:14945434:14945565:14939809:14939869:14949035:14949087:27628","MXE","ENSG00000152457.18","DCLRE1C",0.143,0.078,0.063,0.083,0.012,0.052,0.045,0.084,0.052,0.1,0.062,0.047,0.076,0.013,2.280769231,"SEED2"
"DENND10_chr10:+:119104763:119105006:119104116:119104197:119107967:119108164:85094","DENND10_chr10:+:119104763:119105006:119104116:119104197:119107967:119108164:85094","SE","ENSG00000119979.18","DENND10",0.586,0.522,0.529,0.53,0.426,0.372,0.463,0.533,0.527,0.613,0.536,0.474,0.443,0.53,2.280831974,"SEED2"
"STRBP_chr9:-:123236829:123236966:123184131:123184298:123268435:123268586:131873","STRBP_chr9:-:123236829:123236966:123184131:123184298:123268435:123268586:131873","SE","ENSG00000165209.19","STRBP",0.218,0.25,0.23,0.179,0.2,0.299,0.163,0.212,0.26,0.24,0.126,0.126,0.097,0.176,2.285785951,"SEED2"
"TNK2_chr3:-:195870113:195870378:195870113:195870205:195872275:195872470:5922","TNK2_chr3:-:195870113:195870378:195870113:195870205:195872275:195872470:5922","A3SS","ENSG00000061938.21","TNK2",0.115,0.081,0.102,0.031,0.035,0.018,0.048,0.071,0.045,0.121,0.079,0.031,0.042,0.031,2.288016527,"SEED2"
"CCNL2_chr1:-:1392678:1392803:1390765:1390865:1393395:1393460:39929","CCNL2_chr1:-:1392678:1392803:1390765:1390865:1393395:1393460:39929","SE","ENSG00000221978.13","CCNL2",0.664,0.744,0.589,0.584,0.408,0.401,0.287,0.389,0.472,0.56,0.466,0.488,0.39,0.49,2.292473117,"SEED2"
"QTRT1_chr19:+:10712160:10712628:10712160:10712299:10712552:10712628:805","QTRT1_chr19:+:10712160:10712628:10712160:10712299:10712552:10712628:805","RI","ENSG00000213339.9","QTRT1",0.373,0.354,0.334,0.302,0.227,0.21,0.26,0.268,0.296,0.244,0.285,0.192,0.264,0.305,2.293967828,"SEED2"
"CUEDC1_chr17:-:57866473:57867415:57866473:57866544:57867356:57867415:3958","CUEDC1_chr17:-:57866473:57867415:57866473:57866544:57867356:57867415:3958","RI","ENSG00000180891.13","CUEDC1",0.245,0.243,0.234,0.204,0.166,0.164,0.218,0.313,0.291,0.274,0.242,0.193,0.268,0.269,2.301118211,"SEED2"
"STK40_chr1:-:36367851:36368084:36361220:36361340:36385722:36385879:89689","STK40_chr1:-:36367851:36368084:36361220:36361340:36385722:36385879:89689","SE","ENSG00000196182.11","STK40",0.186,0.203,0.174,0.165,0.11,0.179,0.141,0.188,0.234,0.165,0.206,0.127,0.143,0.164,2.301282051,"SEED2"
"ZC3H14_chr14:+:88601923:88602083:88577984:88578140:88607242:88607363:126652","ZC3H14_chr14:+:88601923:88602083:88577984:88578140:88607242:88607363:126652","SE","ENSG00000100722.20","ZC3H14",0.293,0.285,0.267,0.21,0.221,0.192,0.152,0.319,0.16,0.242,0.228,0.136,0.165,0.242,2.302978057,"SEED2"
"CCNL2_chr1:-:1390765:1391575:1390765:1390865:1392789:1392803:4154","CCNL2_chr1:-:1390765:1391575:1390765:1390865:1392789:1392803:4154","A3SS","ENSG00000221978.13","CCNL2",0.963,0.924,0.928,0.88,0.588,0.628,0.864,0.92,0.893,0.847,0.768,0.814,0.866,0.958,2.303271028,"SEED2"
